Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Hdop,Altitude,UTM_easting,UTM_northing,Zone,Letter
1675714276.547465,446,72678,72678,GPS1_Frame,42.339051166666664,-71.08840566666666,0.93,48.5,327960.7767472887,4689534.0241500335,19,T
1675714277.5425987,447,72679,72679,GPS1_Frame,42.339048000000005,-71.088407,0.93,47.8,327960.6582687612,4689533.675213508,19,T
1675714278.5472128,448,72680,72680,GPS1_Frame,42.33904833333333,-71.08840716666667,0.96,47.0,327960.64544755657,4689533.712564863,19,T
1675714279.5479124,449,72681,72681,GPS1_Frame,42.339045333333324,-71.088409,0.93,46.5,327960.4862327041,4689533.38314707,19,T
1675714280.545647,450,72682,72682,GPS1_Frame,42.33904183333334,-71.08841416666668,0.93,45.7,327960.0510485016,4689533.004952504,19,T
1675714281.5467265,451,72683,72683,GPS1_Frame,42.3390345,-71.08842133333333,0.93,44.8,327959.4406463289,4689532.205142072,19,T
1675714282.5505278,452,72684,72684,GPS1_Frame,42.33903183333334,-71.08842483333333,0.93,44.3,327959.1450375969,4689531.916110672,19,T
1675714283.552598,453,72685,72685,GPS1_Frame,42.33902716666667,-71.08842733333333,0.93,42.8,327958.9263560446,4689531.402971127,19,T
1675714284.5464845,454,72686,72686,GPS1_Frame,42.339026,-71.088432,0.93,42.3,327958.5387261368,4689531.282863925,19,T
1675714285.5482073,455,72687,72687,GPS1_Frame,42.33902333333334,-71.08843833333334,0.93,41.8,327958.00970240287,4689530.999565389,19,T
1675714286.5474446,456,72688,72688,GPS1_Frame,42.33902083333334,-71.08844583333332,0.93,40.4,327957.3850211398,4689530.737134544,19,T
1675714287.5479238,457,72689,72689,GPS1_Frame,42.33901983333333,-71.08844900000001,0.85,39.9,327957.1214183271,4689530.632499447,19,T
1675714288.5437448,458,72690,72690,GPS1_Frame,42.33901516666666,-71.08845483333333,0.85,38.4,327956.62813075935,4689530.126104517,19,T
1675714289.548155,459,72691,72691,GPS1_Frame,42.33901600000001,-71.08845916666668,0.85,38.0,327956.2734159297,4689530.227407795,19,T
1675714290.5512154,460,72692,72692,GPS1_Frame,42.33901666666667,-71.08846083333333,0.85,37.0,327956.1379312206,4689530.304808355,19,T
1675714291.5472832,461,72693,72693,GPS1_Frame,42.33901383333333,-71.08846566666666,0.85,35.8,327955.73202538164,4689529.999967857,19,T
1675714292.5478377,462,72694,72694,GPS1_Frame,42.33901216666666,-71.08847,0.85,35.6,327955.3704922604,4689529.823665163,19,T
1675714293.5483103,463,72695,72695,GPS1_Frame,42.339014666666664,-71.08847233333333,0.85,35.0,327955.185086473,4689530.105992409,19,T
1675714294.5477827,464,72696,72696,GPS1_Frame,42.339011666666664,-71.08847716666668,0.85,34.2,327954.7787260242,4689529.782644897,19,T
1675714295.5502589,465,72697,72697,GPS1_Frame,42.33900883333334,-71.08848333333334,0.85,33.6,327954.26297775353,4689529.480502337,19,T
1675714296.547779,466,72698,72698,GPS1_Frame,42.3390065,-71.08848583333334,0.85,32.9,327954.0506595659,4689529.226461882,19,T
1675714297.5484755,467,72699,72699,GPS1_Frame,42.339004833333334,-71.088489,0.85,31.9,327953.7852384148,4689529.047798637,19,T
1675714298.5484142,468,72700,72700,GPS1_Frame,42.339002,-71.08849133333334,0.85,30.9,327953.5852868161,4689528.737899759,19,T
1675714299.5436523,469,72701,72701,GPS1_Frame,42.339004666666675,-71.08849466666668,0.85,30.6,327953.317953862,4689529.040757528,19,T
1675714300.5475335,470,72702,72702,GPS1_Frame,42.33900633333333,-71.08849866666667,0.85,29.9,327952.99297239864,4689529.233921839,19,T
1675714301.5484335,471,72703,72703,GPS1_Frame,42.33900783333333,-71.088502,0.87,29.3,327952.72245756874,4689529.407230156,19,T
1675714302.5476322,472,72704,72704,GPS1_Frame,42.33900966666667,-71.08850583333333,0.85,28.6,327952.4116609938,4689529.618564329,19,T
1675714303.54564,473,72705,72705,GPS1_Frame,42.33901266666667,-71.08850833333332,0.85,28.3,327952.2138887076,4689529.956750097,19,T
1675714304.5480144,474,72706,72706,GPS1_Frame,42.33901783333334,-71.08851216666667,0.85,28.3,327951.912183418,4689530.538225648,19,T
1675714305.5480733,475,72707,72707,GPS1_Frame,42.33902083333334,-71.08851750000001,0.85,28.3,327951.4809962453,4689530.882144477,19,T
1675714306.542281,476,72708,72708,GPS1_Frame,42.33902533333333,-71.088522,0.85,28.2,327951.1225516479,4689531.390940746,19,T
1675714307.5490081,477,72709,72709,GPS1_Frame,42.33902883333334,-71.0885255,0.85,28.0,327950.8437614414,4689531.786671194,19,T
1675714308.5481198,478,72710,72710,GPS1_Frame,42.3390325,-71.08852900000001,0.85,27.6,327950.5654258316,4689532.200908721,19,T
1675714309.5457685,479,72711,72711,GPS1_Frame,42.339036666666665,-71.08853466666666,0.85,27.4,327950.1099602293,4689532.675051593,19,T
1675714310.547219,480,72712,72712,GPS1_Frame,42.339038333333335,-71.08853933333333,0.85,27.0,327949.7300578769,4689532.869565032,19,T
1675714311.547104,481,72713,72713,GPS1_Frame,42.339039500000005,-71.08854583333333,0.85,26.5,327949.19775868685,4689533.012266955,19,T
1675714312.5466504,482,72714,72714,GPS1_Frame,42.339039666666665,-71.08855483333333,0.92,26.5,327948.4567777924,4689533.048985173,19,T
