Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675712207.0579553,0,76212,76212,GPS1_Frame,42.338861333333334,-71.08809666666667,8.0,1.2,327985.7150503197,4689512.319440717,19 Hours 36 Minutes 49.00 Seconds,19,T
1675712208.062901,0,76213,76213,GPS1_Frame,42.338862,-71.08809883333333,7.7,1.01,327985.53837397974,4689512.397852196,19 Hours 36 Minutes 50.00 Seconds,19,T
1675712209.057937,0,76213,76213,GPS1_Frame,42.338862166666665,-71.08810066666666,7.4,1.01,327985.3877948802,4689512.420068139,19 Hours 36 Minutes 51.00 Seconds,19,T
1675712210.0573046,0,76213,76213,GPS1_Frame,42.3388625,-71.08810183333334,7.2,1.2,327985.2925915505,4689512.459442468,19 Hours 36 Minutes 52.00 Seconds,19,T
1675712211.06048,0,76214,76214,GPS1_Frame,42.338863833333335,-71.088103,7.2,1.01,327985.2001150512,4689512.609859199,19 Hours 36 Minutes 53.00 Seconds,19,T
1675712212.0571368,0,76214,76214,GPS1_Frame,42.33886616666667,-71.0881035,7.4,1.01,327985.1652866873,4689512.869969649,19 Hours 36 Minutes 54.00 Seconds,19,T
1675712213.057653,0,76215,76215,GPS1_Frame,42.33886783333333,-71.08810383333334,7.6,1.2,327985.1423707614,4689513.05571466,19 Hours 36 Minutes 55.00 Seconds,19,T
1675712214.0603044,0,76215,76215,GPS1_Frame,42.338868833333336,-71.088104,7.6,1.01,327985.1313672711,4689513.1670942325,19 Hours 36 Minutes 56.00 Seconds,19,T
1675712215.060982,0,76215,76215,GPS1_Frame,42.33887083333333,-71.088104,7.8,1.01,327985.1368209372,4689513.389179035,19 Hours 36 Minutes 57.00 Seconds,19,T
1675712216.0528991,0,76216,76216,GPS1_Frame,42.33887133333333,-71.08810366666667,7.9,1.2,327985.16564499855,4689513.444025894,19 Hours 36 Minutes 58.00 Seconds,19,T
1675712217.0564985,0,76216,76216,GPS1_Frame,42.33887,-71.08810283333334,7.9,1.01,327985.2306608373,4689513.294283504,19 Hours 36 Minutes 59.00 Seconds,19,T
1675712218.0616944,0,76232,76232,GPS1_Frame,42.338868166666664,-71.08810283333334,8.3,1.01,327985.2256616463,4689513.090705767,19 Hours 37 Minutes 00.00 Seconds,19,T
1675712219.060114,0,76233,76233,GPS1_Frame,42.338866333333335,-71.08810333333334,8.7,1.2,327985.1794714829,4689512.888139544,19 Hours 37 Minutes 01.00 Seconds,19,T
1675712220.0643916,0,76233,76233,GPS1_Frame,42.338865,-71.0881045,9.2,1.01,327985.07972344046,4689512.742443207,19 Hours 37 Minutes 02.00 Seconds,19,T
1675712221.0606847,0,76233,76233,GPS1_Frame,42.33886366666667,-71.08810533333333,9.5,1.01,327985.00743604,4689512.596072529,19 Hours 37 Minutes 03.00 Seconds,19,T
1675712222.0582547,0,76234,76234,GPS1_Frame,42.338862666666664,-71.08810616666666,9.9,1.2,327984.936057582,4689512.4867159845,19 Hours 37 Minutes 04.00 Seconds,19,T
1675712223.0554118,0,76234,76234,GPS1_Frame,42.338862166666665,-71.08810683333333,10.2,1.01,327984.8797728666,4689512.432543471,19 Hours 37 Minutes 05.00 Seconds,19,T
1675712224.0608559,0,76235,76235,GPS1_Frame,42.338860833333335,-71.088108,10.7,1.01,327984.7800248078,4689512.286847139,19 Hours 37 Minutes 06.00 Seconds,19,T
1675712225.062864,0,76235,76235,GPS1_Frame,42.3388585,-71.08810883333334,10.7,1.2,327984.70501056034,4689512.029434062,19 Hours 37 Minutes 07.00 Seconds,19,T
1675712226.0547564,0,76235,76235,GPS1_Frame,42.338856666666665,-71.08810933333334,10.9,1.01,327984.65882037923,4689511.826867841,19 Hours 37 Minutes 08.00 Seconds,19,T
