Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675701534.0528314,0,64486,64486,GPS1_Frame,42.337022,-71.08987466666666,18.2,1.17,327834.22021436103,4689311.673920037,16 Hours 38 Minutes 54.00 Seconds,19,T
1675701535.0444005,0,64486,64486,GPS1_Frame,42.337022166666664,-71.08988183333334,18.2,1.1,327833.6302479382,4689311.706937705,16 Hours 38 Minutes 55.00 Seconds,19,T
1675701536.0479171,0,64487,64487,GPS1_Frame,42.33702183333333,-71.08989183333334,18.4,1.17,327832.80549462565,4689311.690171017,16 Hours 38 Minutes 56.00 Seconds,19,T
1675701537.049627,0,64487,64487,GPS1_Frame,42.337021666666665,-71.08990166666666,18.3,1.17,327831.9949268783,4689311.69157403,16 Hours 38 Minutes 57.00 Seconds,19,T
1675701538.0513594,0,64488,64488,GPS1_Frame,42.33702183333333,-71.08991283333333,17.9,1.17,327831.0754230069,4689311.732690954,16 Hours 38 Minutes 58.00 Seconds,19,T
1675701539.046389,0,64488,64488,GPS1_Frame,42.33702316666667,-71.08992316666667,17.8,1.17,327830.2277567439,4689311.901670128,16 Hours 38 Minutes 59.00 Seconds,19,T
1675701540.0433192,0,64504,64504,GPS1_Frame,42.3370245,-71.08993233333334,17.6,1.17,327829.4762056004,4689312.068287153,16 Hours 39 Minutes 00.00 Seconds,19,T
1675701541.0486827,0,64505,64505,GPS1_Frame,42.337027,-71.08993966666667,17.5,1.17,327828.87887647026,4689312.360741582,16 Hours 39 Minutes 01.00 Seconds,19,T
1675701542.052584,0,64505,64505,GPS1_Frame,42.3370295,-71.08994933333334,17.0,1.17,327828.0893172311,4689312.657920604,16 Hours 39 Minutes 02.00 Seconds,19,T
1675701543.0487838,0,64505,64505,GPS1_Frame,42.337033166666664,-71.0899575,16.8,1.17,327827.4265185959,4689313.0816119425,16 Hours 39 Minutes 03.00 Seconds,19,T
1675701544.0472655,0,64506,64506,GPS1_Frame,42.33703633333333,-71.08996216666667,16.6,1.17,327827.0507006609,4689313.442695289,16 Hours 39 Minutes 04.00 Seconds,19,T
1675701545.0472877,0,64506,64506,GPS1_Frame,42.3370405,-71.08996366666666,16.5,1.17,327826.9384956788,4689313.908409112,16 Hours 39 Minutes 05.00 Seconds,19,T
1675701546.0495312,0,64507,64507,GPS1_Frame,42.33704216666667,-71.0899715,16.5,1.17,327826.2977003193,4689314.109340859,16 Hours 39 Minutes 06.00 Seconds,19,T
1675701547.0412402,0,64507,64507,GPS1_Frame,42.33704433333333,-71.089981,16.8,1.17,327825.52096237004,4689314.3691685805,16 Hours 39 Minutes 07.00 Seconds,19,T
1675701548.050463,0,64507,64507,GPS1_Frame,42.3370515,-71.08998716666666,16.5,1.17,327825.03248490323,4689315.177458829,16 Hours 39 Minutes 08.00 Seconds,19,T
1675701549.0476305,0,64508,64508,GPS1_Frame,42.33705533333333,-71.08999566666667,16.2,1.17,327824.34268011607,4689315.620332485,16 Hours 39 Minutes 09.00 Seconds,19,T
1675701550.0500324,0,64508,64508,GPS1_Frame,42.33705883333333,-71.090003,16.4,1.17,327823.7480807101,4689316.02382975,16 Hours 39 Minutes 10.00 Seconds,19,T
1675701551.0454974,0,64508,64508,GPS1_Frame,42.33706033333333,-71.09001066666667,16.7,1.17,327823.12056147517,4689316.205917256,16 Hours 39 Minutes 11.00 Seconds,19,T
1675701552.0444767,0,64509,64509,GPS1_Frame,42.33706516666667,-71.090018,16.8,1.17,327822.5296011727,4689316.75747114,16 Hours 39 Minutes 12.00 Seconds,19,T
1675701553.0486715,0,64509,64509,GPS1_Frame,42.337068333333335,-71.09003033333333,16.7,1.17,327821.52217069967,4689317.1340788435,16 Hours 39 Minutes 13.00 Seconds,19,T
1675701554.0526962,0,64510,64510,GPS1_Frame,42.33707183333333,-71.09004133333333,16.1,1.17,327820.6254958187,4689317.545000962,16 Hours 39 Minutes 14.00 Seconds,19,T
1675701555.0472977,0,64510,64510,GPS1_Frame,42.337076,-71.0900545,15.9,1.37,327819.55214126065,4689318.03433875,16 Hours 39 Minutes 15.00 Seconds,19,T
1675701556.0484588,0,64510,64510,GPS1_Frame,42.33707733333333,-71.0900705,15.9,1.17,327818.2376316565,4689318.214793896,16 Hours 39 Minutes 16.00 Seconds,19,T
1675701557.0469337,0,64511,64511,GPS1_Frame,42.33708033333333,-71.090087,16.1,1.17,327816.88647884584,4689318.5813323995,16 Hours 39 Minutes 17.00 Seconds,19,T
1675701558.0457003,0,64511,64511,GPS1_Frame,42.337084,-71.09009883333333,15.9,1.18,327815.9216057174,4689319.012449648,16 Hours 39 Minutes 18.00 Seconds,19,T
1675701559.0433621,0,64512,64512,GPS1_Frame,42.337087333333336,-71.09011083333333,15.8,1.37,327814.94209220214,4689319.4068904,16 Hours 39 Minutes 19.00 Seconds,19,T
1675701560.046843,0,64512,64512,GPS1_Frame,42.33708983333333,-71.09012,16.0,1.37,327814.193726421,4689319.703058548,16 Hours 39 Minutes 20.00 Seconds,19,T
1675701561.04727,0,64512,64512,GPS1_Frame,42.33709183333333,-71.090128,16.3,1.14,327813.5401109888,4689319.941343113,16 Hours 39 Minutes 21.00 Seconds,19,T
1675701562.0489864,0,64513,64513,GPS1_Frame,42.337097166666666,-71.09013316666666,16.2,1.37,327813.129015673,4689320.544031567,16 Hours 39 Minutes 22.00 Seconds,19,T
1675701563.0438447,0,64513,64513,GPS1_Frame,42.337099333333335,-71.09014016666667,16.3,1.49,327812.5582395177,4689320.798798308,16 Hours 39 Minutes 23.00 Seconds,19,T
1675701564.0484605,0,64514,64514,GPS1_Frame,42.33710216666667,-71.09014916666666,16.4,1.18,327811.8245144926,4689321.131643348,16 Hours 39 Minutes 24.00 Seconds,19,T
1675701565.042577,0,64514,64514,GPS1_Frame,42.3371,-71.0901635,16.4,1.18,327810.6377596754,4689320.920076597,16 Hours 39 Minutes 25.00 Seconds,19,T
1675701566.049282,0,64514,64514,GPS1_Frame,42.33709783333333,-71.09017683333333,16.4,1.37,327809.5333890454,4689320.706485015,16 Hours 39 Minutes 26.00 Seconds,19,T
1675701567.0470037,0,64515,64515,GPS1_Frame,42.3370995,-71.09018783333333,16.5,1.18,327808.63171123725,4689320.913831,16 Hours 39 Minutes 27.00 Seconds,19,T
1675701568.0509079,0,64515,64515,GPS1_Frame,42.33709866666667,-71.0901985,16.8,1.18,327807.7506712039,4689320.84289612,16 Hours 39 Minutes 28.00 Seconds,19,T
1675701569.0442734,0,64516,64516,GPS1_Frame,42.33709916666667,-71.09021016666667,17.0,1.18,327806.7908862054,4689320.922042923,16 Hours 39 Minutes 29.00 Seconds,19,T
1675701570.049405,0,64516,64516,GPS1_Frame,42.33710116666666,-71.0902225,16.8,1.18,327805.7802726445,4689321.169103482,16 Hours 39 Minutes 30.00 Seconds,19,T
1675701571.0442781,0,64516,64516,GPS1_Frame,42.33710133333334,-71.09023466666666,17.0,1.18,327804.77838572557,4689321.21224897,16 Hours 39 Minutes 31.00 Seconds,19,T
1675701572.0474215,0,64517,64517,GPS1_Frame,42.33710266666667,-71.09024433333333,16.7,1.37,327803.98564392456,4689321.37988132,16 Hours 39 Minutes 32.00 Seconds,19,T
1675701573.0482924,0,64517,64517,GPS1_Frame,42.33710083333333,-71.09025666666666,16.8,1.18,327802.96456721774,4689321.201279809,16 Hours 39 Minutes 33.00 Seconds,19,T
1675701574.0462136,0,64518,64518,GPS1_Frame,42.337099333333335,-71.0902695,16.6,1.37,327801.9032081751,4689321.060705133,16 Hours 39 Minutes 34.00 Seconds,19,T
1675701575.0481467,0,64518,64518,GPS1_Frame,42.337099,-71.090278,16.8,1.18,327801.2020320768,4689321.040904521,16 Hours 39 Minutes 35.00 Seconds,19,T
1675701576.0438755,0,64518,64518,GPS1_Frame,42.3370985,-71.09028816666667,16.9,1.18,327800.36309393216,4689321.005972137,16 Hours 39 Minutes 36.00 Seconds,19,T
1675701577.0451283,0,64519,64519,GPS1_Frame,42.3371,-71.09029416666667,17.1,1.37,327799.87288274744,4689321.184686535,16 Hours 39 Minutes 37.00 Seconds,19,T
1675701578.0472155,0,64519,64519,GPS1_Frame,42.337099333333335,-71.090305,16.8,1.37,327798.9785668254,4689321.132597345,16 Hours 39 Minutes 38.00 Seconds,19,T
1675701579.0437446,0,64519,64519,GPS1_Frame,42.33710133333334,-71.09031233333333,16.5,1.37,327798.3798748135,4689321.369533242,16 Hours 39 Minutes 39.00 Seconds,19,T
1675701580.0441628,0,64520,64520,GPS1_Frame,42.337104333333336,-71.09031866666666,16.2,1.37,327797.8662967334,4689321.715486417,16 Hours 39 Minutes 40.00 Seconds,19,T
1675701581.0429313,0,64520,64520,GPS1_Frame,42.33710633333333,-71.090325,16.1,1.37,327797.34998905775,4689321.95039724,16 Hours 39 Minutes 41.00 Seconds,19,T
1675701582.0444407,0,64521,64521,GPS1_Frame,42.33710766666667,-71.09033433333333,16.0,1.49,327796.5847088904,4689322.117355379,16 Hours 39 Minutes 42.00 Seconds,19,T
1675701583.044216,0,64521,64521,GPS1_Frame,42.33710883333333,-71.09034033333333,16.1,1.18,327796.0935879838,4689322.259055918,16 Hours 39 Minutes 43.00 Seconds,19,T
1675701584.0499651,0,64521,64521,GPS1_Frame,42.337109833333336,-71.09034566666666,16.5,1.18,327795.6569349802,4689322.380899301,16 Hours 39 Minutes 44.00 Seconds,19,T
1675701585.0457404,0,64522,64522,GPS1_Frame,42.33711066666667,-71.0903525,16.6,1.18,327795.0962506713,4689322.48727344,16 Hours 39 Minutes 45.00 Seconds,19,T
1675701586.0478408,0,64522,64522,GPS1_Frame,42.33711066666667,-71.09035716666666,16.9,1.18,327794.71179084305,4689322.496724365,16 Hours 39 Minutes 46.00 Seconds,19,T
1675701587.0417192,0,64523,64523,GPS1_Frame,42.3371105,-71.09036533333334,17.3,1.18,327794.0385311939,4689322.494756471,16 Hours 39 Minutes 47.00 Seconds,19,T
1675701588.0486548,0,64523,64523,GPS1_Frame,42.3371095,-71.09037266666667,17.5,1.18,327793.43165032775,4689322.398565639,16 Hours 39 Minutes 48.00 Seconds,19,T
1675701589.04437,0,64523,64523,GPS1_Frame,42.3371085,-71.09038016666666,17.6,1.18,327792.81103873387,4689322.302712397,16 Hours 39 Minutes 49.00 Seconds,19,T
1675701590.046209,0,64524,64524,GPS1_Frame,42.33710683333334,-71.09039116666666,18.3,1.18,327791.90026241186,4689322.139919262,16 Hours 39 Minutes 50.00 Seconds,19,T
1675701591.0419834,0,64524,64524,GPS1_Frame,42.337107833333334,-71.090398,18.7,1.37,327791.3400330827,4689322.264800767,16 Hours 39 Minutes 51.00 Seconds,19,T
1675701592.047096,0,64525,64525,GPS1_Frame,42.337108666666666,-71.0904035,19.0,1.18,327790.8891944799,4689322.368474925,16 Hours 39 Minutes 52.00 Seconds,19,T
1675701593.0431352,0,64525,64525,GPS1_Frame,42.33710933333333,-71.09041283333333,19.0,1.18,327790.1220946354,4689322.4614055175,16 Hours 39 Minutes 53.00 Seconds,19,T
1675701594.048606,0,64525,64525,GPS1_Frame,42.33710933333333,-71.09042333333333,19.2,1.14,327789.2570600002,4689322.482670744,16 Hours 39 Minutes 54.00 Seconds,19,T
1675701595.0461411,0,64526,64526,GPS1_Frame,42.33710966666666,-71.09043316666667,19.3,1.18,327788.44785812567,4689322.539600023,16 Hours 39 Minutes 55.00 Seconds,19,T
1675701596.0487232,0,64526,64526,GPS1_Frame,42.33710933333333,-71.0904435,19.7,1.37,327787.5956442714,4689322.523513781,16 Hours 39 Minutes 56.00 Seconds,19,T
1675701597.041743,0,64527,64527,GPS1_Frame,42.33711,-71.09045266666666,20.0,1.18,327786.8422751762,4689322.616107186,16 Hours 39 Minutes 57.00 Seconds,19,T
